Gene names;WT1 SN F;WT2 SN F;WT3 SN F;HET1 SN F;HET2 SN F;HET3 SN F;MUT1 SN F;MUT2 SN F;MUT3 SN F;WT1 SN M;WT2 SN M;WT3 SN M;HET1 SN M;HET2 SN M;HET3 SN M;MUT1 SN M;MUT2 SN M;MUT3 SN M; T-test Difference HET SN F vs WT SN F;-Log  T-test p-value HET SN F vs WT SN F; T-test q-value HET SN F vs WT SN F; T-test Difference MUT SN F vs WT SN F;-Log  T-test p-value MUT SN F vs WT SN F; T-test q-value MUT SN F vs WT SN F; T-test Difference HET SN M vs WT SN M;-Log  T-test p-value HET SN M vs WT SN M; T-test q-value HET SN M vs WT SN M; T-test Difference MUT SN M vs WT SN M;-Log  T-test p-value MUT SN M vs WT SN M; T-test q-value MUT SN M vs WT SN M; T-test significant;Peptides;Razor + unique peptides;Unique peptides;Sequence coverage [%];Unique + razor sequence coverage [%];Unique sequence coverage [%];Mol. weight [kDa];Q-value;Score;Intensity;MS/MS count;iBAQ;Protein IDs;Majority protein IDs;Protein names
Oxsr1;-1,349597931;-1,490571976;-1,796481609;-1,147485733;-1,524372101;-1,292559147;-1,342208385;-1,639732838;-1,266733646;-1,55788517;-1,340778828;-1,184675694;-1,114055634;-1,207904816;-1,126445293;-1,299151421;-1,268598557;-1,368627548;0,224078178;0,582312101;0,905039728;0,129325549;0,301742198;0,764511021;0,21164465;0,878846318;0,748688372;0,048987389;0,164372117;0,987531394;;5;3;3;11,4;7,8;7,8;58,213;0;11,166;131690000;3;5267600;Q6P9R2;Q6P9R2;Serine/threonine-protein kinase OSR1
Fam162a;0,906126976;1,210068703;0,975367069;1,386171341;1,274347305;1,003563404;1,291670322;1,64012289;1,149405003;1,153741837;1,35099268;0,875374317;1,235846519;0,62038517;0,848342419;0,833300591;1,404873848;1,449802399;0,190839767;0,582260413;0,903161943;0,329878489;0,892233155;0,398743185;-0,225178242;0,424311769;0,801321684;0,102622668;0,159291609;0,973119109;;6;6;6;33,5;33,5;33,5;17,725;0;22,84;1633700000;10;163370000;"Q9D6U8;A0A338P6X2";Q9D6U8;Protein FAM162A
Letmd1;-1,577755928;-1,264672279;-1,162191868;-1,19364357;-1,26203537;-0,845655918;-1,32033205;-0,968950748;-1,257910252;-0,850600243;-1,070355892;-1,224728107;-1,048949242;-0,940647125;-1,012287617;-1,262634277;-1,205546379;-1,617417336;0,234428406;0,582148156;0,896162791;0,152475675;0,388680224;0,699160164;0,04793342;0,158934368;0,932093617;-0,313304583;0,865050602;0,970538462;;5;5;5;18,1;18,1;18,1;41,7;0;10,819;161290000;5;8488900;Q924L1;Q924L1;LETM1 domain-containing protein 1
Actg1;0,860390663;0,86263752;0,726780415;1,057744026;0,842234612;0,868346691;0,893852711;0,944105625;1,012824535;1,073965073;0,838493824;1,028515339;0,802211761;0,961880684;0,959253788;0,900718689;0,980505943;0,991225243;0,106172244;0,581392602;0,919012212;0,133658091;1,109971657;0,535899924;-0,072542667;0,334866901;0,881539295;-0,022841454;0,106216411;0,992033657;;25;1;1;78,1;4,5;4,5;41,792;0;34,532;11174000000;8;558690000;"P63260;B1ATY1;G3UYG0";P63260;"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed"
Atox1;2,233080864;2,228713989;1,961053371;2,02378273;1,998998642;2,044765949;2,086807728;2,274929523;2,109235287;1,989836693;2,156380177;1,912156582;2,046551704;2,222436905;2,245268345;2,217253685;2,111194611;2,060154915;-0,118433634;0,580608152;0,914395939;0,016041438;0,051165543;0,964824921;0,151961168;0,72820057;0,772086385;0,110076586;0,571956323;0,970781373;;5;5;5;88,2;88,2;88,2;7,3384;0;48,411;2248700000;9;562170000;O08997;O08997;Copper transport protein ATOX1
Apbb1;-0,827782631;-1,372282028;-1,319032192;-1,077235222;-0,944036484;-0,685774326;-0,881694317;-0,5463624;-0,91820097;-1,143977165;-1,173264027;-1,151477337;-1,425469398;-1,047861099;-1,10448885;-1,156304359;-1,314443588;-1,411487579;0,270683606;0,580180907;0,893458228;0,390946388;0,866671187;0,379310345;-0,03636694;0,111745199;0,949211406;-0,137838999;0,855492283;0,978925831;;2;2;2;3,7;3,7;3,7;77,383;0;4,3372;150990000;3;5807200;"Q9QXJ1;A0A087WR62;A0A087WPS7;A0A087WPI2;A0A0R4J2C6;A0A0R4J2C1;A0A1B0GR67;A0A087WRP1;A0A1B0GT76;A0A087WQC5;A0A087WQH0";"Q9QXJ1;A0A087WR62;A0A087WPS7;A0A087WPI2;A0A0R4J2C6;A0A0R4J2C1;A0A1B0GR67;A0A087WRP1;A0A1B0GT76;A0A087WQC5;A0A087WQH0";Amyloid beta A4 precursor protein-binding family B member 1
Tpm1;1,150258064;1,244844437;1,050591946;1,488288879;1,211206436;1,184170246;1,424917698;1,598330021;1,411358356;1,519364357;1,28229475;1,27360487;1,249289513;1,041648865;1,237511158;1,349642754;1,337369919;1,511162758;0,145990372;0,579881777;0,906593333;0,32963721;1,794822126;0,352691099;-0,182271481;0,802830788;0,750246117;0,040970484;0,156413593;0,986511184;;11;8;0;39,6;32,2;0;28,343;0;69,67;3627200000;15;259090000;"G5E8R0;E9Q453;G5E8R2;G5E8R1;E9Q455;B7ZNL3;E9Q448;F8WID5;P58774;CON__Q3SX28;A2AIM4;S4R261;A2AIM5";"G5E8R0;E9Q453;G5E8R2;G5E8R1;E9Q455;B7ZNL3;E9Q448;F8WID5";
Heph;-4,460112572;-3,472225189;-3,466610432;-3,285451889;-2,823760986;-3,679763317;-2,911155224;-3,868900776;-2,761871815;-2,970379829;-3,495681286;-3,123504162;-2,764950752;-3,721380234;-3,23817873;-2,889842987;-4,171656609;-3,362634659;0,536657333;0,579634615;0,88041989;0,619006793;0,575499229;0,440394366;-0,04498148;0,048634103;0,959282517;-0,278189659;0,27544884;0,969209169;;1;1;1;1;1;1;129,66;0,00081633;2,0168;15818000;1;322810;"Q9Z0Z4;A2AI62";"Q9Z0Z4;A2AI62";Hephaestin
Sel1l;-1,128983498;-1,604052544;-1,008965969;-1,644037247;-1,265301704;-1,735893726;-1,936808109;-1,375459194;-1,222177029;-1,453943253;-1,79096365;-1,242454052;-1,257000923;-1,224629402;-1,524695873;-1,795057297;-1,935139656;-1,79405117;-0,301076889;0,578581659;0,885351206;-0,264147441;0,393890361;0,625757322;0,160344919;0,35952693;0,833292954;-0,345629056;0,972864459;1;;4;4;4;8,8;8,8;8,8;82,425;0;4,3004;213900000;4;5628900;"J3QJX3;Q9Z2G6";"J3QJX3;Q9Z2G6";Protein sel-1 homolog 1
Ddah1;3,705241203;3,745774269;3,470135212;3,741697311;3,744727135;3,771326542;3,878926754;3,719363689;3,860497952;3,717055321;3,695587635;3,732227802;3,461858749;3,632042885;3,721274853;3,635540962;3,783157349;3,772116661;0,112200101;0,578291514;0,918145863;0,17921257;0,834467587;0,514357551;-0,10989809;0,646196041;0,819908333;0,015314738;0,114274171;0,99077277;;18;18;17;64,6;64,6;61,8;31,381;0;106,19;11088000000;40;652230000;"Q9CWS0;D3YU15";"Q9CWS0;D3YU15";N(G),N(G)-dimethylarginine dimethylaminohydrolase 1
Abcf1;-2,816458702;-2,955199242;-2,60174799;-3,009415627;-2,778079033;-3,444705486;-2,985795498;-2,611753941;-3,336739063;-3,276132584;-2,794652462;-2,785519123;-3,115304947;-3,082386971;-2,999579906;-2,980300903;-2,563684464;-3,166793823;-0,286264737;0,577457204;0,89851114;-0,186960856;0,330076431;0,707396074;-0,113655885;0,275438433;0,871654466;0,048508326;0,070454549;0,994349354;;2;2;2;2,6;2,6;2,6;94,944;0;2,7506;51558000;2;1393500;Q6P542;Q6P542;ATP-binding cassette sub-family F member 1
Aimp2;-0,507164001;-0,612118721;-0,726661205;-0,911834717;-0,70102787;-0,638124943;-0,665414333;-0,412759304;-0,499335766;-0,391254425;-1,001003742;-0,536279202;-0,92671299;-0,447792053;-0,591021061;-0,673502922;-0,370723724;-0,646094322;-0,135014534;0,576786345;0,909264151;0,089478175;0,386333999;0,773029825;-0,012329578;0,017630709;0,991069899;0,079405467;0,141601806;0,9817232;;4;4;4;22,8;22,8;22,8;35,377;0;18,515;130510000;4;8700500;"Q8R010;Q8R3V2";"Q8R010;Q8R3V2";Aminoacyl tRNA synthase complex-interacting multifunctional protein 2
Gipc1;0,269551277;0,327124596;0,394710064;0,853590965;0,37940979;0,384839535;0,694919109;0,700065136;0,595138073;0,411031723;0,49238348;0,486934185;0,277523041;0,231365204;0,371852398;0,599572182;0,54173851;0,440080643;0,208818118;0,576647933;0,90703537;0,332912127;2,586245467;0,291291139;-0,169869582;1,591438531;0,688584178;0,063680649;0,523218277;0,962005294;;4;4;4;17,7;17,7;17,7;36,129;0;11,959;250070000;6;16672000;Q9Z0G0;Q9Z0G0;PDZ domain-containing protein GIPC1
Pcdh1;0,758525848;0,866078377;0,786270618;0,818504333;0,887768745;0,851958752;0,762476444;1,133374691;1,022859097;0,912979126;0,90517664;0,859443188;0,721400261;0,849638939;0,860515118;0,934663773;0,842633247;0,825234413;0,049118996;0,576613076;0,956253508;0,169278463;0,670375808;0,569983448;-0,082014879;0,794295962;0,831079172;-0,025022507;0,263980912;0,993226308;;16;3;0;25,6;4,8;0;112,41;0;8,192;1679600000;7;43068000;Q8CFX3;Q8CFX3;
Sf3b5;-3,19645977;-3,139421463;-2,044336796;-3,510214806;-2,792011261;-4,375554562;-3,36457777;-2,387185574;-3,1308074;-2,843857765;-4,089913845;-3,207006931;-3,253707886;-2,944791794;-3,432956219;-3,637059212;-3,088978767;-4,2825737;-0,7658542;0,576387236;0,875588235;-0,167450905;0,128906949;0,857132693;0,169774214;0,160791097;0,894963151;-0,289277713;0,223289909;0,960069964;;2;2;2;25,6;25,6;25,6;10,119;0;4,4897;76426000;2;15285000;Q923D4;Q923D4;Splicing factor 3B subunit 5
Pgm3;-2,207539558;-2,153633118;-2,221210003;-1,633480072;-1,956777573;-2,272176266;-2,443918705;-3,229239941;-2,244915485;-2,555373192;-2,463614941;-2,361870289;-2,242438316;-2,315930367;-1,87757349;-1,964256287;-1,826333046;-1,829784393;0,239982923;0,575966666;0,898159251;-0,445230484;0,670765845;0,432804706;0,314972083;1,008062041;0,686931818;0,586828232;2,90875714;0,765;;2;2;2;4,6;4,6;4,6;59,452;0;4,4607;72052000;2;2401700;"Q9CYR6;Q8BWW3";"Q9CYR6;Q8BWW3";Phosphoacetylglucosamine mutase
Chmp2a;-1,4124403;-1,2804842;-1,930849552;-1,782109261;-1,859512329;-1,760649204;-1,123284817;-2,243752003;-1,801958561;-1,476119041;-1,704119205;-2,356666088;-1,945940971;-1,435824394;-1,484920979;-1,495928764;-1,330521584;-1,099051476;-0,259498914;0,575555173;0,894330477;-0,181740443;0,181317895;0,814562798;0,223405997;0,291736149;0,832933889;0,537134171;0,868155147;1;;1;1;1;8,6;8,6;8,6;25,134;0;4,9965;105260000;1;11695000;"Q9DB34;A0A1B0GT75;A0A1B0GR63";"Q9DB34;A0A1B0GT75;A0A1B0GR63";Charged multivesicular body protein 2a
Cyc1;3,682200432;3,723937035;3,541552067;3,553739548;3,531273842;3,623447895;3,770637035;3,719869137;3,797467709;3,854908943;3,742241383;3,697062016;3,527236938;3,609967232;3,668519497;3,716282845;3,66649437;3,702992439;-0,07974275;0,574821269;0,925924079;0,113428116;0,88558975;0,615069307;-0,162829558;1,22754723;0,746344828;-0,069480896;0,636312082;0,968248521;;14;14;14;42,8;42,8;42,8;35,327;0;90,568;30963000000;65;2211700000;"Q9D0M3;A0A2R8VHK1";"Q9D0M3;A0A2R8VHK1";Cytochrome c1, heme protein, mitochondrial
Gcdh;-0,23986721;-0,625219345;-0,571807384;-0,532939911;-0,098836899;-0,049797535;-0,390165806;-0,435266018;-0,20152998;-0,128890038;-0,146217823;-0,481338024;-1,011131287;-0,418747902;-0,573468685;-0,127568245;-0,336736679;-0,139689445;0,251773198;0,574107395;0,888976077;0,136644046;0,414637043;0,701245935;-0,415633996;0,918989983;0,698245847;0,050817172;0,141280681;0,988416479;;3;3;3;10,3;10,3;10,3;48,605;0;12,472;402430000;7;23672000;"Q60759;A0A0A0MQ68;D3Z4I2";"Q60759;A0A0A0MQ68";Glutaryl-CoA dehydrogenase, mitochondrial
Cadm2;3,598528862;3,773884773;3,543110371;3,746742249;3,675311089;3,793230534;3,868880749;3,843776226;3,687341213;3,717535973;3,68207407;3,572050571;3,557522774;3,679986;3,723821163;3,544203758;3,540485382;3,739491463;0,099919955;0,573405413;0,919271549;0,161491394;0,834153143;0,537741105;-0,003443559;0,017248266;0,997918401;-0,049160004;0,246122761;0,979144737;;14;14;14;48,3;48,3;48,3;47,558;0;185,52;18239000000;36;1403000000;"Q8BLQ9;G3UZM4;D3Z0N3";"Q8BLQ9;G3UZM4";Cell adhesion molecule 2
Tmem11;-1,222178459;-0,945673943;-1,648248196;-1,716236115;-1,451931953;-1,497757435;-1,685449123;-1,892121792;-1,302101612;-1,654089928;-1,294874668;-1,06403017;-1,552947044;-0,928059578;-0,855363369;-1,47875309;-1,27778244;-1,369252205;-0,283274968;0,572921038;0,899824516;-0,354523977;0,591913675;0,476182143;0,225541592;0,331676967;0,827237344;-0,037597656;0,072736682;0,993847663;;3;3;3;21,6;21,6;21,6;21,311;0;8,1931;317430000;3;39679000;"Q8BK08;E9Q933;Z4YN74";"Q8BK08;E9Q933";Transmembrane protein 11, mitochondrial
Fam98a;-3,06644249;-3,151462555;-2,589396954;-2,643520355;-2,642378807;-2,81174612;-2,744571209;-2,461375713;-2,288306713;-2,750131607;-2,546422482;-2,547363758;-3,070064545;-3,078223228;-2,405843258;-2,236445427;-2,572675705;-2,523111343;0,236552238;0,572851024;0,894659013;0,437682788;0,931101697;0,359594542;-0,236737728;0,435574246;0,787770304;0,17056179;0,613559819;0,961559719;;1;1;1;1,9;1,9;1,9;55,055;0,0089175;1,0887;31364000;1;1363700;"Q3TJZ6;A0A3Q4EBV4";"Q3TJZ6;A0A3Q4EBV4";Protein FAM98A
Ldha;3,545220375;3,339959145;3,307514668;3,680360794;3,377728462;3,583166599;3,554387569;3,447658062;3,494876385;3,369652748;3,405054569;3,425341129;3,301841736;3,238911629;3,449288845;3,588526726;3,516689301;3,509600639;0,149520556;0,572672951;0,910889451;0,101409276;0,558123071;0,707053374;-0,070002079;0,470612104;0,872975657;0,138256073;2,00116269;0,981472081;;18;18;16;60,2;60,2;56,6;36,498;0;114,68;20555000000;35;1142000000;"P06151;A0A1B0GSX0;A0A1B0GSR9;D3YZQ9;A0A1B0GT41;A0A1B0GQX5;A0A1B0GSL7;A0A1B0GRW9;A0A1B0GS79;A0A1B0GRC1;A0A1B0GRS2;P00342;D3YVR7;D3YZE4";"P06151;A0A1B0GSX0;A0A1B0GSR9;D3YZQ9;A0A1B0GT41;A0A1B0GQX5;A0A1B0GSL7";"L-lactate dehydrogenase A chain;L-lactate dehydrogenase"
Oplah;-2,584176064;-2,619965553;-3,185792446;-3,045536041;-2,873843193;-3,790067196;-3,402163982;-2,751600742;-2,840958118;-3,684597969;-3,757034779;-2,359149456;-3,858310699;-2,766019821;-2,912304401;-2,269821167;-2,94863224;-3,190217018;-0,439837456;0,57196356;0,907784512;-0,20159626;0,289097832;0,724159233;0,088049094;0,053303733;0,956500781;0,464037259;0,364715707;0,967973304;;3;3;3;4;4;4;137,61;0,001075;1,9299;481290000;3;8750800;"Q8K010;E9Q484;E9PZB8;A0A1B0GSQ4";"Q8K010;E9Q484";5-oxoprolinase
Gfm1;0,316084862;0,484633446;0,320769787;0,43657589;0,42364502;0,890330791;0,398037434;0,648118496;0,67478323;0,585245132;0,584143162;0,604396343;0,492535591;0,301463127;0,503502369;0,356553078;0,193721771;0,459281921;0,209687869;0,571732272;0,908894118;0,199817022;0,894859467;0,474599078;-0,158761183;1,132567639;0,745567416;-0,254742622;1,516967611;0,994810127;;7;7;7;14,2;14,2;14,2;83,549;0;19,342;646680000;7;15773000;Q8K0D5;Q8K0D5;Elongation factor G, mitochondrial
Tecr;0,912928581;0,693439484;0,992054462;0,847629547;1,172505379;1,087113857;1,051373959;0,623870373;0,767527103;1,091213226;0,90938139;0,913724422;0,900651932;0,93006897;1,095599651;0,840733528;0,908009529;0,824489594;0,169608752;0,571401498;0,90430713;-0,051883698;0,123025786;0,894744337;0,004000505;0,015550906;0,997488889;-0,113695463;0,807455224;0,96032613;;6;6;6;14,3;14,3;14,3;36,09;0;20,043;1029900000;9;79226000;"Q9CY27;G3UWE1;A0A5F8MQC8;Q52L67;A0A5F8MPU6;A0A1D5RLH3;A0A1D5RLB4;Q3TAN8";"Q9CY27;G3UWE1;A0A5F8MQC8;Q52L67;A0A5F8MPU6";Very-long-chain enoyl-CoA reductase
Dhx9;2,296077728;2,294474602;3,064211369;2,046729088;2,437696457;2,068507671;2,129889965;1,944489002;1,984656811;2,102045059;1,990606785;2,300218105;2,158453941;2,67406559;2,344034672;1,943164825;1,898209572;1,88846302;-0,367276827;0,571237926;0,88421365;-0,531909307;0,948424757;0,342795402;0,261228085;0,674402299;0,73961413;-0,221010844;1,128625163;0,953142857;;19;19;19;17,9;17,9;17,9;149,62;0;56,365;2293300000;27;36402000;"A0A087WPL5;E9QNN1;O70133;Q3UR42;A0A0R4J2C3;A0A087WRT3";"A0A087WPL5;E9QNN1;O70133;Q3UR42";ATP-dependent RNA helicase A
Shmt2;-0,729308128;-0,831301689;-1,135874271;-1,122560501;-0,957144737;-1,137201786;-0,664570332;-0,653749943;-0,686346531;-0,671009064;-0,676001072;-0,822517872;-0,998484612;-0,961191177;-1,009885311;-0,882480621;-0,84241581;-0,852148056;-0,173474312;0,571203287;0,903576602;0,230605761;0,876475769;0,450126789;-0,266677697;2,169868595;0,704076923;-0,135838826;1,247188349;0,981086587;;4;4;4;10,5;10,5;10,5;55,758;0;11,911;134190000;5;4627200;Q9CZN7;Q9CZN7;Serine hydroxymethyltransferase
;-0,299887657;-0,4835186;-0,278332233;-0,478209496;-0,390514374;-0,464673519;-0,588719845;-0,470753193;-0,210563183;-0,268120766;-0,317398548;-0,039988995;-0,343446732;-0,248954773;-0,226043224;-0,42886734;-0,316450119;-0,318727493;-0,090552966;0,570613997;0,923193175;-0,069432576;0,207792663;0,850637775;-0,06431214;0,279019415;0,894481266;-0,146178881;0,71741469;0,963519253;;11;3;1;12,5;3,5;1,3;131,23;0;10,284;221810000;5;4032900;A0A5F8MPJ2;A0A5F8MPJ2;
St13;2,228928566;2,128835678;1,907186031;2,296359062;2,188508987;2,174167156;2,237616062;2,289643764;2,258164883;2,352849007;2,173570156;1,72143507;2,134010315;2,022011757;2,091696262;2,38407135;2,122873306;2,261484146;0,131361643;0,569308453;0,910108812;0,173491478;0,836118041;0,51890533;-4,53E-05;7,74E-05;0,999378042;0,173524857;0,356859819;0,973197877;;8;8;8;25,6;25,6;25,6;41,655;0;39,067;3949200000;16;359020000;"Q99L47;F8WJK8;E9Q1X9;E9Q1V0";"Q99L47;F8WJK8";Hsc70-interacting protein
Uba5;-0,563838005;-0,777178764;-1,185103893;-0,499093056;-0,789952278;-0,409890652;-0,585707188;-0,937471867;-0,595964909;-0,696588516;-0,683676243;-0,712314129;-0,865420341;-0,745580673;-0,416533947;-0,652123451;-0,771220207;-0,402772903;0,275728226;0,569196991;0,895844221;0,1356589;0,248933506;0,785144312;0,021681309;0,055663725;0,968607943;0,088820775;0,336880109;0,961776337;;2;2;2;9,2;9,2;9,2;44,789;0;4,4884;129180000;2;7599100;Q8VE47;Q8VE47;Ubiquitin-like modifier-activating enzyme 5
Sh3gl3;1,093659401;0,929940224;1,105017185;1,060026169;1,188591957;1,14065218;1,168727398;1,026347637;1,27845335;1,393863678;0,964170933;1,339807987;1,002761841;1,111197472;1,229059696;1,235151291;1,207531929;1,08176136;0,086884499;0,569144438;0,921161443;0,114970525;0,551250919;0,687463699;-0,11827453;0,323512376;0,851928646;-0,057799339;0,150576558;0,987229159;;11;10;10;43,8;41,8;41,8;38,95;0;32,614;1191500000;15;59574000;"A0A0R4J0B8;Q62421;J3QQ44;J3QQ08;J3QK75";"A0A0R4J0B8;Q62421;J3QQ44";Endophilin-A3
Plxnb1;1,243288994;1,102822304;1,019194126;1,116796494;1,290424347;1,295527935;1,317031384;0,986681461;1,059186459;1,040300369;1,186275005;1,170921803;0,883738518;1,087905884;1,275321484;1,15719223;1,145039558;1,030385971;0,112481117;0,568912218;0,915544128;-0,00080204;0,002188333;0,997146724;-0,050177097;0,153428841;0,931617898;-0,021626472;0,12920909;0,994638743;;11;11;11;6,6;6,6;6,6;231,37;0;23,73;742260000;11;8836500;"Q8CJH3;A0A0G2JDM9";Q8CJH3;Plexin-B1
Atp6v1g1;-0,018663406;0,344053268;0,121738911;0,110204697;-0,13339901;-0,016494274;0,287780285;0,491324902;0,350018024;-0,053141594;0,327255726;-0,163701534;-0,134305;-0,185297966;-0,042350292;0,109038353;0,458857536;0,392881393;-0,162272453;0,56853021;0,90095859;0,227331479;0,870289318;0,453931727;-0,157455285;0,436919806;0,822966759;0,283454895;0,705420345;0,990235808;;3;3;3;26,3;26,3;26,3;13,724;0;9,9939;648720000;4;108120000;Q9CR51;Q9CR51;V-type proton ATPase subunit G 1
Rabgap1;0,321338654;-0,062483788;0,136824131;0,239028931;0,202383995;0,615458012;0,127772808;0,253290653;0,257638454;0,173295975;0,215605259;0,548258305;0;0,251141548;0,253882885;0,332428932;0,219348907;-0,070749283;0,220397313;0,568383149;0,910556656;0,08100764;0,273672117;0,817811885;-0,144045035;0,422573603;0,82993498;-0,15204366;0,378286031;0,967830735;;7;7;5;8,9;8,9;6,6;120,8;0;22,933;600680000;7;11552000;"A2AWA9;A2AWA7";A2AWA9;Rab GTPase-activating protein 1
Pck2;1,687778473;1,621482849;1,487081051;1,802474022;1,557520866;1,852982044;1,740500927;1,882599354;1,890630245;1,913188934;1,86817503;1,697039127;1,465792656;1,593297005;1,674133778;1,720890045;1,749879837;1,662841797;0,138878187;0,567987376;0,908723236;0,239129384;1,450709823;0,363741935;-0,248393218;1,300335207;0,701741325;-0,114930471;0,746981685;0,964281637;;14;14;14;30,8;30,8;30,8;70,527;0;97,389;2429600000;19;69417000;"Q8BH04;A0A0R4J0G0;A0A2I3BQL9;A0A2I3BS39;A0A2I3BRX1;A0A2I3BQC6;Q9Z2V4;A0A2I3BQ75";"Q8BH04;A0A0R4J0G0;A0A2I3BQL9;A0A2I3BS39;A0A2I3BRX1";Phosphoenolpyruvate carboxykinase [GTP], mitochondrial
Ptges2;0,481030464;0,336050034;0,054342747;-0,18168354;0,205040932;0,172709942;0,30214262;0,088484287;0,103966236;0,157928467;0,333902836;0,196971416;-0,10063839;0,390149117;0,329420567;0,094979286;0,069914818;0,28909111;-0,225118637;0,56796169;0,911369832;-0,125610034;0,367488043;0,728991501;-0,023290475;0,048873717;0,968123442;-0,078272502;0,375464555;0,962369345;;7;7;7;29,2;29,2;29,2;43,323;0;51,539;452620000;8;18105000;Q8BWM0;Q8BWM0;"Prostaglandin E synthase 2;Prostaglandin E synthase 2 truncated form"
Rbm17;-1,19781208;-1,228590012;-0,488173962;-1,270204544;-1,102503777;-1,671799183;-1,234660625;-0,990878582;-1,128308773;-1,537222862;-1,127488613;-1,236913204;-1,565915108;-0,52008152;-1,407504559;-1,648547173;-1,454574585;-1,610553741;-0,376643817;0,567440443;0,881047619;-0,146423976;0,227482705;0,790606667;0,136041164;0,145347124;0,905076433;-0,270683606;0,929544566;0,949141141;;2;2;2;5,9;5,9;5,9;45,303;0,0050736;1,3761;98013000;2;4083900;Q8JZX4;Q8JZX4;Splicing factor 45
Diras1;-2,949077606;-1,868519783;-2,499941349;-1,728652;-1,805948257;-2,361278057;-2,492119312;-2,585842609;-2,609094143;-2,360963821;-2,40396452;-1,564812183;-2,929903984;-3,013731003;-2,104653835;-2,503353119;-2,089925766;-2,313664436;0,473886808;0,567019929;0,900720412;-0,123172442;0,145035209;0,854269107;-0,572849433;0,650385991;0,690212058;-0,192400932;0,25688989;0,960603543;;5;4;4;25,8;21,2;21,2;22,264;0;7,6823;138260000;4;11521000;"Q91Z61;D3Z0Z5";Q91Z61;GTP-binding protein Di-Ras1
Adcy9;1,761862755;1,840432167;1,790871143;1,82119751;1,810916901;1,909761906;1,772119045;1,906218052;1,83134985;1,838576317;1,84036684;1,768846035;1,695806503;1,71210289;1,807180882;1,689844131;1,819658279;1,741596222;0,049570084;0,566703049;0,956166818;0,038840294;0,359092667;0,867046101;-0,077566306;0,859455031;0,835542241;-0,06556352;0,668677828;0,966192064;;14;14;14;14,9;14,9;14,9;150,95;0;59,105;1086600000;15;16979000;"P51830;E9Q706";"P51830;E9Q706";Adenylate cyclase type 9
Gstm1;3,956040382;3,931780815;3,749760151;4,065616608;3,92169857;3,950649738;4,03482008;4,143067837;3,964581966;4,039128304;4,008112431;3,974112034;4,071413994;3,754834175;3,967328548;4,111554146;4,024894714;3,972920418;0,100127856;0,566411463;0,918064516;0,168296178;0,945673603;0,502811448;-0,07592535;0,328763892;0,880406036;0,029338837;0,262466784;0,988733114;;15;15;11;61,9;61,9;45,4;25,97;0;66,206;21951000000;46;1371900000;"P10649;A2AE89;F6WHQ7;P19639";"P10649;A2AE89";Glutathione S-transferase Mu 1
Fbxl16;-0,599954605;-0,404999733;-0,772778988;-1,447778702;-1,005934715;-0,474311352;-0,716104984;-1,020012379;-0,82670927;-1,083615303;-0,717024326;-0,812089443;-0,638840675;-0,801027298;-1,153492451;-0,802459717;-0,948966026;-2,163421631;-0,383430481;0,56635127;0,889918306;-0,261697769;0,880256944;0,438619102;0,006456216;0,011362456;0,996863813;-0,434039434;0,414896422;0,975166667;;3;3;3;9,6;9,6;9,6;51,878;0;15,823;249770000;4;11894000;A2RT62;A2RT62;F-box/LRR-repeat protein 16
Khdrbs3;-0,501424789;-0,597697258;0,437923908;-0,738862038;-0,462331772;-0,779048443;-1,175672054;-1,569208622;-0,969933033;-0,819207191;-0,811508656;-0,558578968;-0,311553955;-0,1534729;-0,774988651;-0,875155449;-1,186858177;-1,043852806;-0,439681371;0,566196069;0,90449505;-1,017871857;1,275883125;0,294680412;0,316426436;0,703458819;0,725956739;-0,305523872;1,156033351;0,965374359;;4;3;3;11,6;9;9;38,807;0;7,4327;295540000;4;26867000;"Q9R226;A0A2R8VJR4;A0A2R8VHM1";"Q9R226;A0A2R8VJR4";KH domain-containing, RNA-binding, signal transduction-associated protein 3
Etfdh;2,608635902;2,481952667;2,405121326;2,597961426;2,50210762;2,798884869;2,445553303;2,472711086;2,413169384;2,692656517;2,714845181;2,490575314;2,536361694;2,612578392;2,637021542;2,320637703;2,280758858;2,299220085;0,134414673;0,564952095;0,90979737;-0,054758708;0,371098862;0,834762731;-0,037371794;0,183806816;0,936607577;-0,332486788;1,998840584;1;;19;19;19;41,4;41,4;41,4;68,09;0;79,713;4229900000;24;128180000;"Q921G7;Q6PF96";"Q921G7;Q6PF96";Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
Fam81a;1,008119583;0,636636734;0,648310184;0,959328651;0,856286049;0,960850239;1,02327776;1,002604961;0,977933407;0,902104378;0,776311398;1,072365284;0,741578102;1,009121895;0,837520123;0,813089371;0,912502289;0,935653687;0,161132813;0,564618226;0,899979058;0,236916542;0,901238043;0,443277419;-0,05418698;0,177162423;0,923621363;-0,029845238;0,115808319;0,992621202;;7;7;7;22,5;22,5;22,5;41,709;0;18,08;517240000;9;24631000;"Q3UXZ6;D3YVT3;D3YYF8";Q3UXZ6;Protein FAM81A
